"문화공간코드","문화공간명","교통구분코드","교통구분명","교통정보"
"100648","노원구 문화교육","G","지선버스","1131 1135 1137 1140 1141 1144 1224"
"100648","노원구 문화교육","B","간선버스","103 105 146 172"
"100648","노원구 문화교육","A","공항버스","도봉 노원"
"100646","동대문구 관광정보","S","지하철","2호선 용두역 3번출구 1호선 제기역 3번출구"
"100646","동대문구 관광정보","T","버스정류장","동대문구청"
"100646","동대문구 관광정보","G","지선버스","1125 1147 2015 2112 0013"
"100646","동대문구 관광정보","B","간선버스","130 303 300 370 145 721 300 303 370 721 "
"100646","동대문구 관광정보","R","광역버스","9403 9301 9403 "
"100649","동작구 문화관광","S","지하철","1호선 노량진역 7호선 장승배기역"
"100649","동작구 문화관광","T","버스정류장","동작구청 앞"
"100657","영등포구 문화관광","T","버스정류장","영등포역전"
"100657","영등포구 문화관광","B","간선버스","160 260 261 360 503 570 600 605"
"100657","영등포구 문화관광","R","광역버스","5601 9408 9412 9707"
"100655","종로 역사.문화.관광","S","지하철","1호선 종각역 1번 출구 광화문역 2번 출구 "
"100655","종로 역사.문화.관광","T","버스정류장","종각역"
"100584","[한옥체험]서울게스트하우스","S","지하철","3호선 안국역"
"100584","[한옥체험]서울게스트하우스","T","버스정류장","볼링장"
"100584","[한옥체험]서울게스트하우스","G","지선버스","종로01"
"100587","[한옥체험]한옥 생활 체험관 <우리집>","S","지하철","3호선 안국역"
"100587","[한옥체험]한옥 생활 체험관 <우리집>","T","버스정류장","재동초등학교"
"100587","[한옥체험]한옥 생활 체험관 <우리집>","G","지선버스","종로01 종로02"
"100655","종로 역사.문화.관광","G","지선버스","0014.0015.0212.1020.7018. "
"100655","종로 역사.문화.관광","B","간선버스","103150160161260270271273 370.470471601.606720721 "
"100655","종로 역사.문화.관광","R","광역버스","9401.9701"
"100601","[식문화체험]궁중음식연구원","S","지하철","3호선(안국역)"
"100608","[템플스테이]봉은사","S","지하철","2호선 - 삼성역 6번출구 7호선 - 청담역 2번 출구"
"100608","[템플스테이]봉은사","T","버스정류장","봉은사 아셈센타"
"100608","[템플스테이]봉은사","G","지선버스","2225 2411 2413 3411 3415 4411 4428"
"100608","[템플스테이]봉은사","B","간선버스","361 680 "
"100610","[한국가정생활체험]선스홈","S","지하철","2호선 역삼역 3번출구"
"100610","[한국가정생활체험]선스홈","T","버스정류장","역삼역"
"100597","한국 문화의 집 코우스","B","간선버스","143 363 401 "
"100597","한국 문화의 집 코우스","R","광역버스","9407 9413 "
"100572","[예술문화]동림매듭박물관","S","지하철","3호선 안국역"
"100586","[한옥체험]유스패밀리","S","지하철","3호선 안국역"
"100586","[한옥체험]유스패밀리","T","버스정류장","돈미약국"
"100667","관악 문화관광","G","지선버스","5411 5412 5511 5512 5513 5514 5515 5517 5711 6511 6512"
"100603","[예절교육]예지원","S","지하철","3호선 동대입구역"
"100603","[예절교육]예지원","B","간선버스","420"
"100605","[전통체험]한국 문화의 집 코우스","S","지하철","삼성역(2)호선 4번 출구"
"100605","[전통체험]한국 문화의 집 코우스","G","지선버스","3412 3422 4411 4418 4419 4420"
"100605","[전통체험]한국 문화의 집 코우스","B","간선버스","143 363 401 "
"100605","[전통체험]한국 문화의 집 코우스","R","광역버스","9407 9413 "
"100609","[템플스테이]조계사 ","S","지하철","1호선 종각역 3호선 안국역 5호선 광화문역"
"100609","[템플스테이]조계사 ","T","버스정류장","조계사"
"100609","[템플스테이]조계사 ","G","지선버스","0212 1020"
"100609","[템플스테이]조계사 ","B","간선버스","151 162 172 606 708"
"100597","한국 문화의 집 코우스","S","지하철","삼성역(2)호선 4번 출구"
"100585","[한옥체험]안국게스트하우스","S","지하철","3호선 안국역"
"100585","[한옥체험]안국게스트하우스","T","버스정류장","종로경찰서"
"100585","[한옥체험]안국게스트하우스","B","간선버스","109 151 162 171 172 272"
"100606","[템플스테이]길상사 ","S","지하철","4호선 한성대입구(삼선교)역 하차 6번 출구 - 셔틀버스이용"
"100665","강북구 문화유적","S","지하철","4호선 수유역"
"100665","강북구 문화유적","G","지선버스","1018 1019 1119 1121 1125 1138 1144 1148 1151 1152"
"100658","양천구 명소","S","지하철","2호선 양천구청 5호선 목동"
"100594","서울시 농업기술센터","S","지하철","3호선 양재역 수서역 / 8호선 복정역 - 버스환승"
"100594","서울시 농업기술센터","T","버스정류장","헌인가구단지"
"100594","서울시 농업기술센터","G","지선버스","4422 4423"
"100594","서울시 농업기술센터","B","간선버스","140 471"
"100594","서울시 농업기술센터","R","광역버스","9410 9411 9412"
"100598","한국의 집","S","지하철","3-4호선 충무로역 하차 3번 출구"
"100598","한국의 집","T","버스정류장","퇴계로 3가"
"100598","한국의 집","G","지선버스","0211 0013"
"100598","한국의 집","B","간선버스","604 700 263 371 500 105 104"
"100599","한정혜 요리학원","S","지하철","종로3가역(1호선 1번출구 3호선 4번출구 5호선 5번출구)"
"100599","한정혜 요리학원","T","버스정류장","종로3가역"
"100599","한정혜 요리학원","G","지선버스","0212"
"100599","한정혜 요리학원","B","간선버스","100 103 143 150 160 161 201 260 262 270 271 273"
"100599","한정혜 요리학원","R","광역버스","9205 9301"
"100599","한정혜 요리학원","A","공항버스","602"
"100604","[요리강좌]한정혜 요리학원","S","지하철","종로3가역(1호선 1번출구 3호선 4번출구 5호선 5번출구)"
"100604","[요리강좌]한정혜 요리학원","T","버스정류장","종로3가역"
"100604","[요리강좌]한정혜 요리학원","G","지선버스","0212"
"100604","[요리강좌]한정혜 요리학원","B","간선버스","100 103 143 150 160 161 201 260 262 270 271 273"
"100604","[요리강좌]한정혜 요리학원","R","광역버스","9205 9301"
"100604","[요리강좌]한정혜 요리학원","A","공항버스","602"
"100625","칠보(파란)공예","S","지하철","6호선 태릉입구역"
"100625","칠보(파란)공예","B","간선버스","105 146"
"100620","전통꽃신","S","지하철","5호선 마천역"
"100620","전통꽃신","T","버스정류장","마천2동 평화아파트"
"100620","전통꽃신","G","지선버스","3214 3315 3316 3416"
"100617","선추공예","S","지하철","6호선 태릉입구역"
"100617","선추공예","T","버스정류장","태릉입구"
"100617","선추공예","B","간선버스","105 146"
"100162","그랜드 시네마","G","지선버스","5712 7012 7711 7611 7015 5711 7613 7712 7014 7011 7016 7017 5714 5713"
"100157","동작도서관","B","간선버스","152 500 504 641 650 751 752"
"100214","서울교육문화회관","G","지선버스","4312 4417 4421 4422 4423 4424 5411"
"100212","영산양재홀","S","지하철","3호선 양재역 6번 출구"
"100209","전기박물관","G","지선버스","3412 3423 4312 4422 4424 4430 4432 4433 강남 02 서초 08 서초 09 서초18 서초20"
"100015","KT&G 상상아트홀","R","광역버스","9407 9413"
"100013","강남구민회관강당","B","간선버스","143 420 461"
"100012","CMG섬유센터 이벤트홀","T","버스정류장","2호선 삼성역 4번출구 150m 전방"
"100010","브로드웨이","Y","순환버스","41"
"100211","예술의 전당 서예관","G","지선버스","5413 4423 4511 5413  4423 4511"
"100210","씨너스 G","G","지선버스","43124417442044214422442444315412"
"100205","이스라엘문화원","S","지하철","23호선 교대역"
"100200","모차르트콘서트홀","S","지하철","지하철2호선 서초역 4번 출구에서 나오신 방향으로 도보 7분"
"100126","육군사관학교 박물관","T","버스정류장","서울여대"
"100115","구로도서관","T","버스정류장","구로등기소(또는 구로고등학교) 정류장에서 하차"
"100106","나루아트센터","B","간선버스","721 342"
"100198","한전아트센터","S","지하철","3호선 양재 (1번출구) 하나은행과 금강제화 사이길로 들어오셔서 중앙오피스텔을 지나신후 LG데코빌 앞"
"100196","예술의 전당","B","간선버스","406 461 641"
"100195","국립국악원","G","지선버스","5413"
"100189","국립중앙도서관","T","버스정류장","국립중앙도서관"
"100186","서대문형무소역사관","G","지선버스","7019 7021 7023 7025 7712 7737"
"100185","이진아기념도서관","R","광역버스","9701 9703 9705 9709 9710 9711 9712"
"100183","서대문자연사박물관","B","간선버스","110A1538153"
"100182","서대문도서관","S","지하철","홍제역 3번출구 : 7713 7738 9 10 14 승차후 도서관앞 하차 | 신촌역 1번출구 : 7720 7017 110 153 567 승차후 홍은2동 기업은행에서 하차 신연중학교 방향 / 도보 10분정도 (총 30여분 소요)"
"100181","연세대학교 중앙박물관","B","간선버스","163 170 171 171 270 272 370 470 472 601 606 700 750 751"
"100178","이화여자대학교 자연사박물관","R","광역버스","1100 1200 9601 9713 9600 9706"
"100177","이화여대박물관","T","버스정류장","이화여대"
"100174","창무예술원- 드 포스트","T","버스정류장","홍대앞"
"100172","서울월드컵경기장","T","버스정류장","마포구청 → 도보로 10분"
"100171","떼아뜨르 秋","T","버스정류장","홍대입구역"
"100156","경희대학교 자연사박물관","S","지하철","전철1호선 회기역 하차(의정부 ↔ 인천수원)후 1번출구(경희대학교방향) 경희대자연사박물관까지 도보로 약 15분"
"100154","세종대왕기념관","T","버스정류장","홍릉"
"100153","동대문구정보화도서관","B","간선버스","273 201"
"100148","동대문도서관","B","간선버스","420 421 720 201 260 261 262 105 270 271 272 303 370 721"
"100140","옹기민속박물관","G","지선버스","1118 1120 1122(정릉방향) 1122(종암동방향) 1144 1217 1218 1219"
"100139","도봉도서관","B","간선버스","101 109 144(구28) 151 170"
"100136","노원구민체육센터","T","버스정류장","상명여고 앞 체육센터 앞 롯데마트 앞"
"100135","노원평생학습관","B","간선버스","105 146 172"
"100036","예화랑","T","버스정류장","신사중학교 미성아파트"
"100132","롯데시네마 노원","G","지선버스","1129 1134 1142 1132 1133 1138 1224"
"100129","노원정보도서관","Y","순환버스","2"
"100119","평강성서유물박물관","G","지선버스","6612 6613 6614 6616 6640"
"100116","구로구민회관 대강당","S","지하철","2호선 대림역 하차 4번출구 마을버스 구로10번 구로11번 이용(도보 10분 소요) 1호선 구로역 하차 1번출구 마을버스 구로 9번 이용(도보 15분 소요)"
"100094","서울악스","S","지하철","지하철 5호선 광나루역 2번출구 지하철 2호선 강변역 2호선 앞에서 마을버스 (광진 01번)을 타고 광나루 현대 아파트에서 하차"
"100104","어린이회관","S","지하철","7호선 어린이대공원 2번출구"
"100103","유니버설아트센터","G","지선버스","130 300 303 370"
"100093","프리머스 신림","T","버스정류장","신림역"
"100026","코엑스전시장","B","간선버스","143 146 363 401"
"100082","강서도서관","T","버스정류장","영일고등학교(등촌시장) 앞"
"100081","강서구민회관","G","지선버스","6514 5712 6627 6629 6634 6711 강서05"
"100075","강북문화정보센터","T","버스정류장","강북문화정보센터앞"
"100656","은평 문화관광","S","지하철","3호선 녹번 (5번출구) 10분 도보"
"100069","강동어린이회관아이누리홀","B","간선버스","340 341 361 영파여고 하차 => 도보10분"
"100065","고덕평생학습관","B","간선버스","340 361"
"100063","카이스갤러리","S","지하철","7호선 청담 (9번출구)"
"100060","박영덕화랑","S","지하철","3호선 압구정 (2번출구)"
"100057","갤러리 원 (원화랑)","B","간선버스","143 240 362 410"
"100050","밀알학교 세라믹 팔레스홀","S","지하철","3호선 일원역 7번출구로 나오셔서 삼성의료원 맞은편으로 100M정도 걸어오시면 밀알학교가 보입니다."
"100049","태권도기념관","Y","순환버스","41"
"100047","이스탄불 문화원","B","간선버스","140 144 145 146 360 400 402 420 470 471 730"
"100046","국기원","B","간선버스","140 144 145 146 360 400 402 420 470 471 730"
"100045","LIG아트홀","G","지선버스","4312 4417 4422 4424 4431 5412"
"100043","웅진씽크빅아트홀(구 계몽아트홀)","Y","순환버스","41"
"100039","도산안창호 기념관","B","간선버스","145 440 141 301 342 472"
"100037","표갤러리","T","버스정류장","신사중학교"
"100023","김치박물관","G","지선버스","2225(건대역방향) 2411 2413 3217 3218 3411 3414 3415 4411 4418 4419 4420"
"100022","강남도서관","G","지선버스","3219 4312 4411"
"100020","코엑스 오디토리움","T","버스정류장","삼성역"
"100664","강동구 문화관광","T","버스정류장","강동구청"
"100653","용산구 가이드","B","간선버스","110 162 262 503 730"
"100597","한국 문화의 집 코우스","G","지선버스","3412 3422 4411 4418 4419 4420"
"100567","영휘원ㆍ숭인원","S","지하철","1호선 청량리역"
"100585","[한옥체험]안국게스트하우스","A","공항버스","602-1"
"100586","[한옥체험]유스패밀리","G","지선버스","종로01 종로02"
"100019","백암아트홀","G","지선버스","2415 3217 3218 3411 3412 3414 3415 3417"
"100018","민속극장풍류","B","간선버스","472"
"100017","라트어린이극장","G","지선버스","4312"
"100007","한국자수박물관","T","버스정류장","논현동사거리 건설회관앞"
"100001","개포도서관","T","버스정류장","개포도서관"
"100644","구로구 여행레저","T","버스정류장","구로구청 앞"
"100644","구로구 여행레저","G","지선버스","6411 5626 5619 6612"
"100657","영등포구 문화관광","S","지하철","국철 영등포 화물취급소방면 영등포공원내 위치"
"100654","중구 문화관광","S","지하철","2호선 을지로입구역 3호선 을지로3가역"
"100856","강북문화예술회관","T","버스정류장","국립재활원(수유영어마을) 수유종합사회복지관"
"100882","서울상상나라","B","간선버스","721"
"100881","한성백제박물관","T","버스정류장","간선버스 30 30-5 지선버스 3216 3412 3413 3414"
"100878","돈화문 서울무형문화재교육전시장","G","지선버스","7012 7020 7023 5001 9701 9709"
"100877","북촌 서울무형문화재 교육전시장","T","버스정류장","종로경찰서"
"100875","수유문화정보센터","S","지하철","지하철 4호선 수유역 3번출구"
"100665","강북구 문화유적","R","광역버스","9101"
"100654","중구 문화관광","T","버스정류장","을지로3가역 쁘렝땅 백화점 옆"
"100863","강동구립암사도서관","T","버스정류장","양지시장"
"100873","명동난타극장","Y","순환버스","0102"
"100872","동대문구청 아트갤러리","B","간선버스","110B 130 141 145"
"100871","이문체육문화센터","T","버스정류장","신이문역 이문동현대아파트"
"100867","서울역사박물관","G","지선버스","7019"
"100864","서울숲공원 야외공연장","S","지하철","2호선 뚝섬역 8번출구 도보로 약 15분거리 | 중앙선(1호선)응봉역 2번출구 도보로 약 30분 정도 거리"
"100861","용산아트홀","S","지하철","6호선 녹사평역(3번출구)"
"100858","영등포아트홀","G","지선버스","5620 6631 6637 6650"
"100653","용산구 가이드","S","지하철","1호선 남영역 4호선 숙대입구 6호선 효창공원앞역"
"100565","사육신묘","S","지하철","1호선 노량진역"
"100857","마포아트센터","Y","순환버스","마을버스 10번"
"100855","동대문문화회관","T","버스정류장","동대문체육관"
"100585","[한옥체험]안국게스트하우스","G","지선버스","7025"
"100853","금나래아트홀도서관","S","지하철","1호선 금천구청역 1번출구"
"100849","강동구립해공도서관","T","버스정류장","해공도서관"
"100848","강동구립성내도서관","G","지선버스","3212"
"100846","온조대왕문화체육관","G","지선버스","3211 3411 3413"
"100845","해공체육문화센터","S","지하철","5호선 8호선천호역"
"100844","강동구민회관","S","지하철","5호선 굽은다리역 2번 출구에서 100m"
"100841","송파구체육문화회관","S","지하철","5호선 거여역 7번출구로 나와 송파공업고등학교쪽으로 도보로 3분 거리"
"100843","강동구청","S","지하철","8호선 강동구청역 2번출구 150M"
"100842","송파구립거마도서정보센터","G","지선버스","3217 3313 3416"
"100838","강남스포츠문화센터","G","지선버스","2412321934133416342034213423432343124412441944204421"
"100835","강남구청","B","간선버스","301401640"
"100832","관악문화관도서관","A","공항버스","6003"
"100831","관악문화원","T","버스정류장","신림중학교하차 관악산입구 하차"
"100830","신림(다목적)체육센터","G","지선버스","5522 5525 5615 5516"
"100829","관악구민종합체육센터","B","간선버스","461 641"
"100827","동작문화원","B","간선버스","641650751752753"
"100438","아트선재센터","S","지하철","3호선 안국 (1번출구) 삼청터널방향"
"100436","학고재","S","지하철","3호선 안국 (1번출구) 국립민속박물관 방향"
"100732","국회도서관","G","지선버스","5615 6633"
"100714","문화일보홀","R","광역버스","97019709"
"100441","금호아트홀","G","지선버스","7019"
"100439","조세박물관","T","버스정류장","종로 1가 광화문 안국동 세종문화회관에서 하차"
"100434","국제갤러리","B","간선버스","162 171 272 601 606 110(고려대) 110(국민대)"
"100727","정동극장","R","광역버스","9708"
"100433","신문박물관","G","지선버스","0015 0212 1011 1012 1020 1711 7012 7020 7023"
"100432","국립민속박물관","G","지선버스","0015 0212 1012 1020 7012 7020"
"100706","리틀엔젤스예술회관","G","지선버스","2221 2232 3215 303"
"100704","LG아트센터","T","버스정류장","역삼역 / 하나은행 / 한서병원"
"100431","국립고궁박물관","G","지선버스","0212 1020 0212 1020 1711 7016 7018 7022 7025 종로09 종로11"
"100430","일민미술관","T","버스정류장","광화문"
"100348","동덕아트갤러리","A","공항버스","602-1"
"100347","단성갤러리","G","지선버스","0212"
"100346","노화랑","R","광역버스","5500 9301(마방집) 9301(신장시장) 9301(하남시청) 9401 9402 9411"
"100345","김영섭사진화랑","B","간선버스","109 151 162 171 172 272"
"100344","관훈갤러리","R","광역버스","9301(마방집) 9301(신장시장) 9301(하남시청)"
"100695","서울연극센터","B","간선버스","101 102 149 104 106 107 140 143 150 710 273 108 109 162 160"
"100350","동서화랑","B","간선버스","100 108 140 143 150 160 200 260 262 270 300 370 400 470 501 601 701 705 720"
"100343","경인미술관","S","지하철","3호선 안국역 6번 출구(종로경찰서 방향)"
"100342","갤러리미즈","S","지하철","1호선 종로3가 (1번출구)  3호선 안국 (6번출구)"
"100342","갤러리미즈","A","공항버스","601 602"
"100692","서울문화재단","R","광역버스","9301 9403"
"100435","예맥","S","지하철","3호선 안국 (2번출구) 헌법재판소앞"
"100358","토포하우스","R","광역버스","9301(마방집) 9301(신장시장) 9301(하남시청) 9710"
"100522","장충체육관","S","지하철","3호선 동대입구"
"100525","예지원","T","버스정류장","국립극장 앞"
"100674","신당창작아케이드","S","지하철","2호선 신당역 1번출구 / 2호선 신당역 2번 출구"
"100428","아트센터 나비","B","간선버스","100 103 150 160 161 260 270 271 273 370 470 471 501 506 601 606 702 720 721"
"100426","부엉이 박물관","T","버스정류장","경복궁 한국일보앞"
"100671","우리금융아트홀","G","지선버스","3212 3413 3214 3316 4213 3216 3412 3413 3414"
"100355","인사아트센터","A","공항버스","602-1"
"100425","한국사회과학도서관","G","지선버스","7020"
"100424","종로도서관","T","버스정류장","종로도서관"
"100423","어린이도서관","R","광역버스","96009602970397069713"
"100356","인사아트프라자갤러리","G","지선버스","7025"
"100422","금호미술관","B","간선버스","162 171 272 601 606 110(고려대) 110(국민대)"
"100540","대한극장","G","지선버스","0013 0211"
"100538","명보극장","B","간선버스","108  140 400 405 470 471 472 604 103 105 152 261 500 507 700"
"100536","이화여고 100주년기념관","T","버스정류장","서울역사박물관"
"100534","덕수궁미술관","G","지선버스","0014 0015 0015(용산방향) 1011 1711 7012 7017 7020 7022"
"100571","[예술문화]금현국악원","T","버스정류장","종로경찰서(안국역)"
"100524","국립중앙극장","S","지하철","3호선 동대입구 (6번출구) 도보로 15분 또는 2번출구(셔틀버스)"
"100559","상봉시네마","R","광역버스","707 9205 9201"
"100663","강남구 문화관광레저","S","지하철","2호선 선릉  7호선 강남구청"
"100663","강남구 문화관광레저","T","버스정류장","뉴월드호텔"
"100421","갤러리 현대","S","지하철","3호선 경복궁 (5번출구)"
"100419","환기미술관","S","지하철","3호선 경복궁 (3번출구) 부암동 동사무소 방면"
"100417","단성사","B","간선버스","100 720 705 200 601 260 262 270 271 161 143 160 300 150 370"
"100416","판타지움","S","지하철","지하철 4호선 혜화역 4번 출구"
"100443","영국문화원","T","버스정류장","광화문"
"100443","영국문화원","A","공항버스","1노선(시청) 602"
"100664","강동구 문화관광","G","지선버스","3212 3214 4313 3411"
"100664","강동구 문화관광","B","간선버스","361"
"100666","강서 문화관광","S","지하철","5호선 화곡역 2번 출구 300m"
"100666","강서 문화관광","T","버스정류장","화곡본동시장 정류장 하차"
"100666","강서 문화관광","G","지선버스","5712 6514 6627 6629 6634 6711"
"100442","문호아트홀","B","간선버스","160 161 260 270 271 300 370 471 601 602 702 703 705 720"
"100351","동호갤러리","R","광역버스","9301(마방집) 9301(신장시장) 9301(하남시청)"
"100414","예술극장 <나무와 물>","S","지하철","혜화역 4번출구"
"100413","대학로 열린 극장","S","지하철","4호선 대학로 4번 출구"
"100382","단막극장","T","버스정류장","동성고교 앞 5 63-1 12 13 25 361"
"100554","중랑구민회관","G","지선버스","2012 2233 3215 2013 2211 2219"
"100549","동국대학교 박물관","G","지선버스","0212"
"100548","남산골 한옥마을","B","간선버스","104 105 263 604"
"100547","한국의 집 민속극장","G","지선버스","0013(서울역) 0013(왕십리) 0211"
"100410","짚?풀 생활사박물관","T","버스정류장","혜화역"
"100542","농업박물관","S","지하철","5호선 서대문 (5번출구)"
