외국어 가능 약국 현황,,,,,
,(2015. 10. 30. 기준),,,,
123,성북구,서울고명약국,성북구 북악산로17길 2 (돈암동),923-6811,영어
124,성북구,알파약국,성북구 장위로42-1(장위동),918-7692,영어
125,성북구,온누리청수약국,성북구 보국문로 164 (정릉동),913-2328,영어
126,성북구,영생약국,성북구 종암로5길 26 선경A상가 1호(종암동),928-5777,영어
127,성북구,신선명약국,성북구 돌곶이로6길 22 (석관동),966-5913,영어
128,성북구,대림당약국,"성북구 길음로7길 31, ,75,76 (길음동)",913-0832,영어
129,성북구,자성약국,성북구 인촌로7라길 40 (안암동1가),928-8974,"영어,일본어"
130,성북구,부산약국,성북구 장위로 124 (장위동),915-4560,영어
131,성북구,정릉약국,성북구 보국문로 45 (정릉동),914-3982,영어
132,성북구,대건약국,성북구 서경로 2 (정릉동),914-6815,영어
133,성북구,태명약국,성북구 장위로50길 66 (장위동),915-1365,영어
134,성북구,남진약국,"성북구 길음로 20, 514동 515호(길음동, 길음뉴타운상가동)",913-9270,영어
135,성북구,세종약국,성북구 보국문로 168 (정릉동),914-3685,영어
136,성북구,온누리자애약국,성북구 보문로23길 7 (보문동5가),926-6678,영어
137,성북구,인현약국,성북구 돌곶이로41길 33 (장위동),918-7353,영어
138,성북구,보건약국,성북구 장월로 151 (장위동),915-1336,영어
139,성북구,백경약국,성북구 돌곶이로 34 (석관동),963-8974,영어
140,성북구,동선약국,성북구 동소문로26다길 17 (동선동3가),923-7731,영어
141,성북구,수보약국,성북구 솔샘로6길 63 (정릉동),914-1555,영어
142,성북구,관문약국,성북구 장위로 177 (장위동),915-1241,영어
143,성북구,구원약국,성북구 오패산로 16 (하월곡동),913-1139,영어
144,성북구,나바론약국,성북구 동소문로 3-1 (동소문동1가),762-6300,영어
145,성북구,새민우약국,성북구 북악산로 845 쌍용아파트상가203동301호 (정릉동) ,917-4275,영어
146,성북구,굿모닝약국,"성북구 동소문로 16-1, 1층 (동소문동2가)",913-3623,영어
147,성북구,소망약국,성북구 정릉로 322 (정릉동),918-8055,영어
148,성북구,장일약국,성북구 정릉로 274 (정릉동),916-8373,영어
149,성북구,동부약국,성북구 숭인로2길 61 동부센트레빌아파트분산상가 103호 (길음동),983-7950,영어
150,성북구,국민약국,성북구 정릉로10길 42-2 (정릉동),914-5782,영어
151,성북구,모당약국,성북구 아리랑로5길 1 (동소문동7가),925-4465,영어
152,성북구,세원약국,성북구 동소문로20가길 51 (동선동1가),922-6060,영어
153,성북구,온누리민우약국,성북구 돌곶이로22길 49 (석관동),969-4582,영어
154,성북구,온누리진호약국,성북구 돌곶이로 36-1 (석관동),964-1944,영어
155,성북구,승일약국,성북구 화랑로37길 50-14 (장위동),915-4057,영어
156,성북구,대학약국,성북구 인촌로 89 (안암동5가),924-1919,영어
157,성북구,혜조약국,성북구 종암로21길 128 (종암동),922-5076,영어
158,성북구,삼화약국,성북구 돌곶이로 196-1 (장위동),911-4642,영어
159,성북구,월곡약국,성북구 화랑로11길 6 (하월곡동),913-2900,영어
160,성북구,건강한약국,성북구 동소문로42길 14 (하월곡동),916-6445,영어
161,성북구,온누리성모약국,"성북구 성북로4길 52, 한신한진(아)제상가 417동 102호 (돈암동)",927-1282,중국어
162,성북구,화성약국,성북구 오패산로 73 (하월곡동),913-8936,영어
163,성북구,태평양약국,"성북구 보국문로16길 31, 1층 (정릉동)",919-2525,영어
164,성북구,부민약국,성북구 화랑로13길 9 (하월곡동),912-7393,영어
165,성북구,온누리두산약국,"성북구 화랑로48길 16, 두산아파트 상가 101호 (석관동)",959-2668,영어
166,성북구,광혜당약국,성북구 장월로 88-1 (장위동),942-5199,영어
167,성북구,청십자약국,성북구 보문로 99 (보문동5가),923-2393,영어
168,성북구,하나온누리약국,성북구 화랑로 95 (하월곡동),914-0035,영어
169,성북구,미래약국,성북구 인촌로 85 (안암동5가),924-5264,영어
170,성북구,연약국,"성북구 동소문로 12, 지층 (동소문동2가)",3675-5778,영어
171,성북구,삼원약국,성북구 종암로 120 (종암동),941-8550,영어
172,성북구,보문약국,성북구 보문로 123 (보문동2가),921-3844,영어
173,성북구,웰빙우정약국,성북구 월계로 46 (하월곡동),941-1923,영어
174,성북구,신세원약국,성북구 동소문로 245-2 (길음동),909-0928,영어
175,성북구,백두산약국,"성북구 인촌로 78, 1층,2층 (안암동5가)",927-2792,영어
176,성북구,한솔약국,성북구 동소문로 57-1 (동소문동4가),926-6479,영어
177,성북구,참사랑약국,성북구 장위로 107 (장위동),942-3137,영어
178,성북구,정릉메디칼약국,성북구 정릉로 326 (정릉동),912-2727,영어
179,성북구,지선약국,성북구 장월로12길 15 (장위동),911-1996,영어
180,성북구,21세기고려약국,"성북구 인촌로 80, 1층 (안암동5가)",929-9696,영어
181,성북구,옵티마시민약국,성북구 보문로 93 (보문동5가),928-8663,영어
182,성북구,안세약국,성북구 동소문로7길 2 (동소문동4가),2202-4484,영어
183,성북구,길음메디칼약국,성북구 길음로 2 (길음동),915-5777,영어
184,성북구,준약국,성북구 성북로 5길2 (성북동),764-4835,영어
185,성북구,해오름약국,성북구 솔샘로25길 28 풍림아이원아파트 202동상가 211호 (정릉동),912-2302,영어
186,성북구,미소약국,성북구 삼선교로10길 23 (삼선동2가),744-4415,영어
187,성북구,메디칼팜약국,성북구 오패산로 49 (하월곡동),909-0508,영어
188,성북구,그약국,성북구 보국문로 46 (정릉동),911-0488,영어
189,성북구,선약국,성북구 돌곶이로41길 10 (장위동),942-4553,영어
190,성북구,청솔약국,성북구 한천로 743 (장위동),909-8067,영어
191,성북구,동인약국,성북구 동소문로 107 (동선동4가),926-3533,영어
192,성북구,아이사랑약국,성북구 정릉로31길 6 (정릉동),070-8616-4340,영어
193,성북구,사랑의약국,성북구 종암로 115 (종암동),922-7111,영어
194,성북구,삼성약국,"성북구 동소문로 190, 중앙빌딩 1층 (돈암동)",929-3069,영어
195,성북구,중앙프라자약국,"성북구 동소문로 98, 통운빌딩 1층 (동소문동5가)",927-5606,영어
196,성북구,십자성약국,"성북구 한천로78길 53, 1층(석관동)",966-0710,영어
197,성북구,계산온누리약국,성북구 동소문로20길 43 (동선동1가),925-4551,일본어
198,성북구,세기약국,성북구 동소문로 235 (길음동),3292-1224,영어
199,성북구,장위성모약국,성북구 장위로 122 (장위동),913-7516,영어
200,성북구,참약국,성북구 종암로21길 3 용진빌딩 1층(종암동),922-9458,영어
201,성북구,큰사랑약국,성북구 동소문로 66 (동소문동3가),922-9721,영어
202,성북구,남산약국,성북구 장위로 118 (장위동),911-1224,영어
203,성북구,한미약국,성북구 종암로 97 (종암동),925-0825,영어
204,성북구,옵티마e-편한약국,"성북구 삼양로13길 45, 대림아파트 상가 316호 (길음동)",909-3525,영어
205,성북구,송원온누리약국,"성북구 종암로 132, 우림카이저팰리스 201호 (종암동)",915-3500,영어
206,성북구,월곡우리약국,"성북구 월계로 52, 에스엠메디칼 102호 (하월곡동)",917-7400,영어
207,성북구,W스토어 아침을 여는 햇살약국,"성북구 동소문로 14-1, 1층 (동소문동2가)",762-0234,영어
208,성북구,서현약국,"성북구 정릉로32길 4, 1층 (정릉동)",3292-0999,영어
209,성북구,허브약국,"성북구 보국문로 160, 1층 (정릉동)",913-6786,영어
210,성북구,조아약국,"성북구 화랑로 87, 1층 (하월곡동)",919-8575,영어
211,성북구,파란하늘약국,"성북구 성북로4길 52, 한신한진APT제상가417동501호 (돈암동)",929-8723,영어
212,성북구,성북녹십자약국,"성북구 동소문로 32, 1층 (동소문동3가)",926-4166,영어
213,성북구,프라임온누리약국,"성북구 월계로40길 7, 센트럴타운 상가 1층 109호 (장위동)",916-9472,영어
214,성북구,3층약국,"성북구 동소문로 248, (삼부아파트상가102동314-1호) (길음동)",915-0022,영어
215,성북구,명소약국,"성북구 돌곶이로 28, 1층 (석관동)",965-0237,영어
216,성북구,민성약국,"성북구 종암로27길 13, 도원프라자 101호 (종암동)",927-6959,영어
217,성북구,이화프라자약국,"성북구 보국문로 50, 청수프라자 지하1층B105호 (정릉동)",914-2053,영어
218,성북구,두리온누리약국,"성북구 종암로 85, 1층 (종암동)",923-0450,영어
219,성북구,성북월드팜약국,서울시 성북구 화랑로25길 14 (장위동),918-7972,"영어, 일어, 독일어, 러시아어"
220,성북구,월곡보건약국,성북구 화랑로 61 (하월곡동),909-8144,영어
221,성북구,코끼리약국,"성북구 오패산로 98, 로만프라자 103-2호 (하월곡동)",909-0555,"영어,일본어"
222,성북구,웰팜약국,성북구 길음로13길 22 길음뉴타운 두산위브상가 지하1층 10호 (길음동),914-7773,영어
223,성북구,서울약국,"성북구 동소문로 181, 성북성심빌딩 1층 (돈암동)",924-5191,영어
224,성북구,메디팜백약국,"성북구 오패산로 57, 1층 (하월곡동)",912-6200,영어
225,성북구,신중앙약국,"서울시 성북구 종암로 68, 1층 (종암동)",943-8331,영어
226,성북구,스타약국,성북구 동소문로 92 (동소문동5가),070-4257-5277,영어
227,성북구,푸른약국,"성북구 돌곶이로 25, 101호 (석관동)",969-0566,영어
228,성북구,은혜약국,성북구 종암로 91 (종암동),926-1122,영어
229,성북구,이화약국,"성북구 길음로 20, 길음뉴타운 상가동 1층 116호 (길음동)",911-4326,영어
230,성북구,길음시장약국,"성북구 길음로9길 50, 길음뉴타운9단지아파트 상가 101호 (길음동)",070-4402-4565,영어
231,성북구,지혜약국,성북구 한천로 649 (장위동),070-7648-9731,영어
232,성북구,미소담약국,"성북구 보국문로 49, 1층 (정릉동)",6349-2589,영어
233,성북구,성신약국,성북구 동소문로 125 (동선동4가),921-9971,영어
234,성북구,길약국,"성북구 성북로4길 52, 한진아파트 418동 3층 2302호 (돈암동)",923-9994,중국어
235,성북구,신정릉우리약국,"성북구 보국문로 43, 야원빌딩 103호 (정릉동)",942-8831,영어
236,성북구,영준약국,"성북구 오패산로3길 158, 1층(하월곡동)",912-4813,영어
237,성북구,금강약국,성북구 안암로103 (안암동),924-7575,영어
238,성북구,세계로약국,"성북구 화랑로40길 54, 영원빌딩 1층 (석관동)",962-5446,영어
239,성북구,호수온누리약국,성북구 동소문로47길 12 (길음동),988-8979,영어
240,성북구,행복한약국,성북구 보문로 34길 59(동선동),927-8253,영어
241,성북구,바른온누리약국,"성북구 화랑로76 1층 112-1호(하월곡동, 코업스타클래스)",942-4750,영어
242,성북구,덕성온누리약국,성북구 아리랑로 89 일신건영휴먼빌 상가 102호(돈암동),922-0555,영어
243,성북구,신흥약국,성북구 보국문로 76 (정릉동),914-4103,영어
244,성북구,365약국,"성북구 동소문로 321, 1층 (길음동)",985-1365,영어
245,성북구,사랑받는약국,성북구 정릉로36길 28 (정릉동),943-2385,영어
246,성북구,뉴대원약국,"성북구 화랑로 248, 장위뉴타워 101호 (석관동)",963-0792,영어
247,성북구,유민약국,성북구 동소문로 127-2,929-8937,영어
248,성북구,우주온누리약국,성북구 아리랑로 15 (동소문동6가),922-0544,영어
249,성북구,청춘한약국,"성북구 길음로9길 50, 길음뉴타운제상가동제지1층120호 (길음동)",6467-9595,영어
250,성북구,새국민약국,"성북구 화랑로 91, 1층 (하월곡동)",909-3463,영어
251,성북구,삼성약국,성북구 동소문로 190(돈암동),929-3069,영어
252,성북구,아름다운약국,"성북구 길음로 33, 삼성레미안 4차 B동상가지하1층 17,18호 (길음동)",912-5148,영어
253,성북구,동민약국,"성북구 오패산로 99, 동민빌딩 102호, 201호 (하월곡동)",6925-0008,영어
254,성북구,정문약국,성북구 인촌로 82 (안암동5가),924-2121,영어
255,성북구,돌곶이온누리약국,"성북구 화랑로 248, 장위뉴타워 1층 102호, 102-1호 (석관동)",967-5555,영어
256,성북구,새보건약국,성북구 화랑로 67 (하월곡동),911-7111,영어
257,강북구,늘푸른평강약국,"한천로 1043, 1층(수유동)",02-903-5022,영어
258,강북구,다나을약국,"도봉로 333, 6층(수유동, 정우빌딩)",02-900-3133,영어
259,강북구,동아약국,도봉로 118(미아동),02-985-1448,영어
260,강북구,번동종로약국,"오현로34길 23-4, 104호(번동)",02-981-2030,영어
261,강북구,세계로약국,도봉로 253(수유동),02-985-0503,영어
262,강북구,수유상록수약국,"도봉로 328, 301호(번동, 가든타워빌딩)",02-900-7722,영어
263,강북구,어약국,삼각산로 132(수유동),02-902-5119,영어
264,강북구,에버그린약국,한천로 1000(번동),02-999-7101,영어
265,강북구,이원약국,삼양로 244(미아동),02-946-1958,영어
266,강북구,인수약국,삼각산로 71(수유동),02-993-7378,영어
267,강북구,정해약국,삼양로 516(수유동),02-902-1442,영어
268,강북구,제일약국,도봉로 376(번동),02-592-4920,영어
269,강북구,지영약국,삼양로 423(수유동),02-902-1072,영어
270,강북구,한사랑온누리약국,인수봉로 142(수유동),02-980-1214,영어
271,강북구,햇살약국,도봉로 217(미아동),02-987-5159,영어
272,강북구,녹원당약국,"한천로105길 23, 101호(번동, 주공1단지상가)",02-989-8315,일어
273,강북구,한양약국,삼양로87길 35(수유동),02-902-2470,일어
274,강북구,우리들약국,오현로 190(번동),02-981-7577,중국어
275,강북구,종로태평양약국,오패산로 130(미아동),02-985-0393,영어
276,도봉구,메디팜건강,쌍문동 88-105,906-1800,영어
277,도봉구,팜코리아,도봉1동 620-19,955-7017,영어
278,도봉구,대한,쌍문1동 503-1,999-7896,영어
279,도봉구,영훈,창3동 557-5,900-3943,영어
280,도봉구,뉴지명,창3동 557-9,993-2082,영어
281,도봉구,신성,방학3동 271-4 신동아APT 중앙상가 111호,3491-0731,영어
282,도봉구,상록수온누리,방학2동 661-39 1층,954-2950,영어
283,도봉구,광장,창4동 16번지 제일빌딩 101호,990-6527,영어
284,도봉구,혜민,도봉1동 603-7,954-1653,영어
285,도봉구,비타민,창1동 661-40 하나빌딩 1층,902-4797,영어
286,도봉구,후문,창1동 661-40 하나빌딩 1층,995-8588,영어
287,도봉구,건강제일녹십자약국,"쌍문2동 723 신원2차 103, 104호",906-1024,영어
288,도봉구,종로세명약국,방학2동 668-5,3492-9963,영어
289,도봉구,청수약국,방학2동635,3493-6912,영어
290,도봉구,쌍문상록수약국,쌍문4동215-1 우진빌딩,990-0600,영어
291,노원구,이화약국,중계동 대호프라자 319호,951-6102,"영어, 일본어"
292,노원구,나현약국,상계2동 176-103,936-7718,영어 
293,노원구,신흥약국,하계동 180-22,974-3414,중국어
294,노원구,평강상록수약국,상계8동 651-5 1층 103호,935-6644,영어
295,노원구,유림약국,상계10동 1295 우방A상가 101호,930-6858,영어
296,노원구,마들소아약국,상계9동 649번지 상계주공단지상가 201호 ,932-3900,영어
297,노원구,푸른바다약국,"월계동 46-1 인현빌딩 106호,107호",941-3838,영어
298,노원구,서경약국,상계5동451번지 한신2차상가 202호,933-0747,영어
299,노원구,참약국,하계2동 271-3 벽산아파트상가동 206-1,979-2204,영어
300,노원구,마들한중약국,상계8동 651-7 합동빌딩 203호,937-3393,영어
301,은평구,메디팜건강약국,수색로270-1(수색동),372-9791,영어
302,은평구,선우약국,은평로56(신사동),302-5583,영어
303,은평구,성환약국,진흥로1길23(역촌동),355-8374,영어
304,은평구,소원약국,수색로256(수색동),372-6474,영어
305,은평구,신수색태평양약국,"수색로250, 1층(수색동)",307-7579,영어
306,은평구,온누리새소망약국,"은평터널로65(수색동,대림숲타운상가)",309-3771,영어
307,은평구,유진약국,서오릉로162(갈현동),384-8877,영어
308,은평구,참사랑약국,응암로323(응암동),356-7676,영어
309,은평구,최 약 국,응암로4길27-1(응암동),302-7121,일어
310,은평구,온누리솔빛약국,갈현로107(역촌동),355-8224,중국어
311,은평구,유정약국,연서로258(불광동),355-6270,중국어
312,서대문구,연희위드팜약국,서대문구 신촌로 75 (창천동),02-312-6949,"영어, 일본어"
313,서대문구,독수리약국,"서대문구 연세로 36, 1층 (창천동)",02-3147-0770,영어
314,서대문구,대학약국,서대문구 연세로 37-1 (창천동),02-323-0111,영어
315,서대문구,한사랑온누리약국,"서대문구 신촌로 183, 지하1층 (대현동, 유인빌딩)",02-364-5455,영어
316,서대문구,정문약국,서대문구 연세로 41 (창천동),02-324-4652,영어
317,서대문구,위드팜신촌약국,서대문구 성산로 486 (대신동),02-312-5103,"영어, 일본어"
318,서대문구,세연약국,"서대문구 연세로 50, 1층 (신촌동, 연대동문회관)",02-364-6141,영어
319,서대문구,홍제봄약국,"서대문구 통일로39가길 29, 1층 (홍제동)",02-394-3599,영어
320,서대문구,산들약국,서대문구 통일로 356 (홍제동),02-723-9887,영어
321,서대문구,서울솔약국,서대문구 통일로 452 (홍제동),02-998-9310,영어
322,서대문구,한미약국,서대문구 수색로 30 (남가좌동),02-375-3548,중국어
323,서대문구,연희종로약국,서대문구 연희로 109 (연희동),02-3141-4040,영어
324,서대문구,푸른약국,서대문구 거북골로 67 (남가좌동),02-373-0547,영어
325,서대문구,일심약국,서대문구 연세로 42 (창천동),02-392-3333,영어
326,마포구,마리약국,"마포대로 109, 2층(공덕동, 롯데시티호텔)",6009-1166,"영어, 일어"
327,마포구,옵티마강화약국,"서강로 137, 101호(노고산동)",337-6969,영어
328,마포구,다나약국,"대흥로 186-2, 1층(대흥동)",715-3133,"영어, 중국어"
329,마포구,비타민약국,"백범로 90, 1층(대흥동, 동보빌딩)",713-6563,영어
330,마포구,서광타워약국,"대흥로 182, 1층(대흥동)",701-2141,영어
331,마포구,마포종로약국,"월드컵로 73, 1층(망원동)",336-3496,영어
332,마포구,태평양약국,"홍익로 1, 1층(서교동)",322-8344,영어
333,마포구,우대약국,"만리재로 27, 1층(신공덕동)",718-4897,영어
334,마포구,즐거운약국,"큰우물로 53, 106호(염리동, 마포네이버타운)",714-7588,영어
335,마포구,메디팜신마포약국,"창전로 45, 103동 108호(창전동, 서강한화오벨리스크 단지내 상가)",324-4625,"영어, 중국어"
336,마포구,신촌세민약국,"신촌로 78, 1층(노고산동)",323-0900,중국어
337,양천구,현대메디칼약국, 목1동 916 현대백화점 지하2층 ,2163~3968,영어
338,양천구,예인약국, 신월7동 921-1 ,2693~4373,영어
339,양천구,월드약국, 목5동 907 현대월드타워상가1층 ,6678~2244,영어
340,양천구,가까운온누리약국,신정6동 321-6 센트럴프라자B(106),2650-8828,영어
341,양천구,내외약국,신월4동 544-9,2697-5065,영어
